,ENODEB_NAME,CELL_NAME,# of ERAB<%96,# of CSFB<%96,# of RRC<%96,# of E2E<%96,# of ERAB<%98,# of CSFB<%98,# of RRC<%98,# of E2E<%98,DCR_VOLTE_V5R,TOTAL96,TOTAL98,TOTAL
99,SR34_0A685_SCIFTLIGI_B_CAD,L0A68515O346109671,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,12.0,12.0
100,SR34_0A685_SCIFTLIGI_B_CAD,L0A68535O346109673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,SR34_0B419_KUYUMCUKENT_OUT,L0B41925O346142872,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0
102,SR34_0C597_ESN_HAMIDIYE_JP,L0C59725O346169572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,SR34_0C597_ESN_HAMIDIYE_JP,L0C59725O346169582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,SR34_0C597_ESN_HAMIDIYE_JP,L0C59735O346169583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,SR34_0E427_EMIRGANMEKTEP,L0E42735O346194273,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
106,SR34_0E427_EMIRGANMEKTEP,L0E42735O346194283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,SR34_0E834_MEVR_CAD_3,L0E83425O346206182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,SR34_0H256_ESY_YAKAMOZ,L0H25615O346214371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,SR34_0H256_ESY_YAKAMOZ,L0H25635O346214373,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
110,SR34_0H256_ESY_YAKAMOZ,L0H25645O346214374,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0
111,SR34_A1426_YEDPAREFUJ,LA142635O345760113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,SR34_A1570_RESITPASACAD,LA157035O345768513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,SR34_A1570_RESITPASACAD,LA157015O345768531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,SR34_B1100_ICERENKYKARPLAZA,LB110035O345778033,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0
115,SR34_B1551_DOLAYOBAHUKUKCLR,LB155115O345795431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,SR34_B1551_DOLAYOBAHUKUKCLR,LB155115O345795451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,SR34_B1551_DOLAYOBAHUKUKCLR,LB155115O345795471,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
118,SR34_B1551_DOLAYOBAHUKUKCLR,LB155135O345795473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,SR34_D1453_OSMANGAZI_ATAYOLU,LD145325O345810132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,SR34_D1453_OSMANGAZI_ATAYOLU,LD145335O345810183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,SR34_D1599_SEMAHASTANESI,LD159935O345810713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,SR34_E6524_TOPSELVI_KEMALPASA,LE652415O345826111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,SR34_E6524_TOPSELVI_KEMALPASA,LE652415O345826131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,SR34_H1202_KOZYATAGI_E5,LH120215O345831711,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,4.0,5.0
125,SR34_H1202_KOZYATAGI_E5,LH120215O345831751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,SR34_K1922_ESENTEPE_YAMAN,LK192215O346223181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,SR34_K1922_ESENTEPE_YAMAN,LK192225O346223182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,SR34_K1922_ESENTEPE_YAMAN,LK192235O346223183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,SR34_K2667_SAADETDERE_5_JP,LK266715O346228081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,SR34_K3620_NECIP_FAZIL_GAZIANTEP_CAD,LK362035O345848213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,SR34_K3620_NECIP_FAZIL_GAZIANTEP_CAD,LK362015O345848231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,SR34_K3620_NECIP_FAZIL_GAZIANTEP_CAD,LK362025O345848232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,SR34_K4331_BCK_MURATCESME_ATN,LK433115O346242671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,SR34_K4331_BCK_MURATCESME_ATN,LK433115O346242681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,SR34_K6722_BUYUKCEKMECE_KORDON,LK672235O346259713,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0
136,SR34_00358_GNS_MEYDAN_JP,L0035825O346023932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,SR34_A1196_KILAVUZCAYIRI,LA119635O345747973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,SR34_A1196_KILAVUZCAYIRI,LA119645O345747974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,SR34_A1196_KILAVUZCAYIRI,LA119625O345747982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,SR34_A1220_DUDULLUMERKEZ2_JP,LA122015O345748811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,SR34_E1243_ICERNKY_ALANLDI_2,LE124315O345816231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,SR34_E1243_ICERNKY_ALANLDI_2,LE124325O345816272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,SR34_E1465_SANCAKTEPE_SAFA_MAH,LE146515O345820281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,SR34_E1465_SANCAKTEPE_SAFA_MAH,LE146535O345820283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,SR34_K3398_SAMANDIRA_TT,LK339815O345841931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,SR34_K3698_SLV_YENI_MAHALLE,LK369835O346398133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,SR34_K3698_SLV_YENI_MAHALLE,LK369815O346398181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,SR34_K6806_SariguzelCaddesi,LK680625O346268112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,SR34_K8725_GayrettepeOzbal,LK872515O346295611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,SR34_K9057_GUNESLISEDIR,LK905725O346298812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,SR34_0A492_MAHMUTBEY_CAD_4,L0A49225O346094312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,SR34_0A492_MAHMUTBEY_CAD_4,L0A49215O346094371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,SR34_0A492_MAHMUTBEY_CAD_4,L0A49225O346094372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,SR34_0A492_MAHMUTBEY_CAD_4,L0A49225O346094382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,SR34_01207_TELETAS,L0120715O345713681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,SR34_01207_TELETAS,L0120735O345713683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,SR34_C3500_ATASEHIR_MIGROS,LC350025O345803432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,SR34_K8496_KAVACIK_GIRIS_2,LK849615O345879771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,SR34_K8496_KAVACIK_GIRIS_2,LK849615O345879781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,SR34_K9497_KUCUKKOY_ELMABAHCESI,LK949715O346305511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,SR34_00749_MAHMUTBEYGISELER_JP_HUB,L0074935O346050313,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,4.0
162,SR34_01280_SOGANLIKYENIMAH2,L0128015O345717911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,SR34_01280_SOGANLIKYENIMAH2,L0128015O345717951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,SR34_01280_SOGANLIKYENIMAH2,L0128025O345717952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,SR34_01280_SOGANLIKYENIMAH2,L0128035O345717953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,SR34_01280_SOGANLIKYENIMAH2,L0128035O345717973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,SR34_0B535_KANARYA,L0B53535O346146513,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0
